Name,Author,ISBN,Description (optional),Quantity,"Type (Textbook, General Reading, Test Prep, Other)",Rentable (Y/N),Reservable (Y/N),Buffer Time
"Women in the Qur'an, Traditions, and Interpretation ",Barbara Freyer Stowasser ,978-0-19-511148-4,,1,Textbook,Y,N,
How We Became Human: New and Selected Poems: 1975-2001,Joy Harjo,978-0-393-32534-8,,1,Textbook,Y,N,
Math Jokes 4 Mathy Folks,G. Patrick Vennebush,978-1-934759-48-6,,1,Textbook,Y,N,
The Elements of Style ,William Strunk Jr. And E.B. White,978-0-205-30902-3,,1,Textbook,Y,N,
Understanding Research Methods and Statistics: An Integrated Introduction for Psychology ,Gary W. Heiman ,,,1,Textbook,Y,N,
Sing Unto God a New Song: A Contemporary Reading of the Psalms ,Herbert J. Levine ,,,1,Textbook,Y,N,
Introduction to Global Politics ,"Steven L. Lamy, John Baylis, Steve Smith, Patricia Owens",,,1,Textbook,Y,N,
Answer Key for Student Activities Manual: Identidades,K. Angelique Dwyer,978-0-205-03621-9,,2,Test Prep,Y,N,
The Gospel in Parable ,"John R. Donahue, S.J.",978-0-8006-2480-4,,1,Textbook,Y,N,
Neuromancer,William Gibson,978-0-441-00746-2,,1,Textbook,Y,N,
"Hoedowns, Reels, and Frolics: Roots and Branches of Southern Appalachian Dance ",Phil Jamison ,978-0-252-08081-4,,1,Textbook,Y,N,
But Where is the Lamb?: Imaginng the Story of Abraham and Isaac ,James Goodman,978-0-8052-4253-9,,1,Textbook,Y,N,
How To Know God: The Yoga Aphorisms of Patanjali  ,Swami Prabhavanada and Christopher Isherwood,978-0-87481-041-7,,1,Textbook,Y,N,
"The Politics of American Religious Identity: The Seating of Senator Reed Smoot, Mormon Apostle",Kathleen Flake ,978-0-8078-5501-0,,1,Textbook,Y,N,
Mormons and The Bible: The Place of the Latter-day Saints in American Religion ,Philip L. Barlow ,978-0-19-973903-5,,1,Textbook,Y,N,
"Billy Budd, Sailor ",Herman Melville,978-1-4165-2372-7,,1,Textbook,Y,N,
Euripides Iphigeneia At Aulis,"W.S. Merwin and George E. Dimock, Jr.",978-0-190507709-4,,1,Textbook,Y,N,
Fear and Trembling ,Soren Kierkegaard,978-0-14-044449-0,,1,Textbook,Y,N,
Identidades: Exploraciones e interconexiones,K. Angelique Dwyer,978-0-205-03616-5,,1,Test Prep,Y,N,
The Three Pillars of Zen ,Roshi Phillip Kapleau ,978-0-385-26093-0,,1,Textbook,Y,N,
Embroideries,Marjane Satrapi,978-0-375-71467-2,,1,General Reading,Y,N,
Mormonism: The Story of a New Religious Tradition,Jan Shipps,978-0-252-01417-0,,1,Textbook,Y,N,
"Blue Ridge Music Trails of North Carolina: A Guide to Music Sites, Artists, and Traditions of the Mounains and Foothills",Fred C. Fussell,978-1-4696-0821-1,,1,Textbook,Y,N,
Lucky ,Alice Sebold ,978-0-316-09619-9,,1,General Reading ,Y,N,
Answer Key for Student Activities Manual: Gente,Margarita Moreno,978-0-205-01625-9,,1,Test Prep ,Y,N,
Student Activities Manual: Gente ,Margarita Moreno,978-0-205-01055-4,,1,Test Prep ,Y,N,
Gente: Nivel Basico,"Maria Jose De La Fuente, Ernesto Martin Peris, Neus Sans Baulenas ",978-0-205-20919-4,,1,Test Prep ,Y,N,
Dead Men's Praise ,Jacqueline Osherow,978-0-8021-3654-1,,1,Textbook,Y,N,
Student's Guide to Writing College Papers ,Kate L. Turabian ,978-0-226-81631-9,,1,Textbook,Y,N,
Hear Then the Parable: A Commentary on the Parables of Jesus ,Bernard Brandon Scott,978-0-8006-24816-5,,1,Textbook,Y,N,
Puntos: De Partida ,"Thalia Dorwick, Ana M. Perez- Girones, Anne Becher, Casilde A. Isabelli ",978-0-07-338541-9,,1,Textbook,Y,N,
Human Memory,Gabriel Radvansky,978-0-205-73482-5,,1,Textbook,Y,N,
Angels in America ,Tony Kushner ,978-1-55936-231-3,,1,Textbook,Y,N,
Violent Origins: Ritual Killing and Cultural Formation ,"Walter Burkbert, Rene Girard, and Jonathan Z. Smith ",978-0-8047-1518-1,,1,Textbook,Y,N,
Elders ,Ryan Mcilvain,978-0-307-95571-5,,1,General Reading ,Y,N,
The Pslams: The Life of Faith ,Walter Brueggemann,978-0-8006-2733-1,,1,Textbook,Y,N,
The Upanisads,Valeriw J. Roebuck,978-0-14-044749-1,,1,Textbook,Y,N,
The Death and Resurrection of the Beloved Son: The Transformation of Child Sacrifice in Judaism and Christianity ,Jon D. Levenson ,978-0-300-06511-4,,1,Textbook,Y,N,
Carnaval ,Ramon Fernandex Numen ,978-84-95986-91-7,,1,Test Prep,Y,N,
The Heart of Buddhist Meditation: The Buddha's Way of Mindfulness,Nyanaponika Thera,978-1-57863-558-0,,1,Textbook,Y,N,
Wit ,Margaret Edson ,978-0-8222-1704-6,,,Textbook,Y,N,
Amnesia,Jose Luis Ocasar Ariza ,978-84-89756-72-4,,1,Textbook,Y,N,
The Statues That Walked: Unraveling the Mystery of Easter Island ,Terry Hunt and Carl Lipo,978-1-61902-020-3,,1,Textbook,Y,N,
A Textbook for Arabic Part One,"Kristen Brustad, Abbas Al Tonsi, Mahmoud Al-Batal",978-1-5890109-6-3,,1,Test Prep ,Y,N,
Reckless,Craig Lucas ,978-0-8222-0937-9,,1,Textbook,Y,N,
"Human Biodiversity: Genes, Race, and History ",Jonathan Marks ,978-0-202-02033-4,,2,Textbook,Y,N,
Cahokia: Ancient America's Great City on the Mississippi ,Timothy R. Pauketat ,978-0-14-311747-6,,1,Textbook,Y,N,
The Biolgoical Basis of Human Behavior: A Critical Review ,Robert W. Sussman ,978-0-13-799735-0,,1,Textbook,Y,N,
A Textbook for Beginning Arabic,"Kristen Brustad, Abbas Al Tonsi, Mahmoud Al-Batal",978-1-58901-104-X,,1,Textbook,Y,N,
Politics of Reproduction,Susan Roberts,,,1,Textbook,Y,N,
Linear Algebra and its applications,"David C. Lay, Judith McDonald",978-0-321-38883-4,,1,Test Prep,,,
Life: The Science of Biology ,"A. Malcolm Campell, Barbara Lom, Karen G. Hales, Karen Bernd, Sophia Sarafova, and David Wessner",978-9-9700680-1-2,,1,Test Prep,,,
"Á vous, d'écrire: Atelier de français Cahier d'exercices","Gisèle Loriot-Raymer, Michèle E. Vialet, Nicole Fandel",978-0-07-044243-6,,1,Other,,,
Calculus: Early transcendentals,"Anton, Bivens, Davis",978-0-470-64769-1,,1,Textbook,,,
The Making of a Tropical Disease: A Short History of Malaria,Randall M. Packard,978-1-4214-0396-0,,1,General Reading,,,
The Hip Hop Wars,Tricia Rose,978-0-465-00897-1,,1,General Reading,,,
Lapham's Quarterly: Celebrity,,9.78997E+12,,1,General Reading,,,
The Norton Anthology of African American Literature,,,,,,,,
American Sniper,Chris Kyle,978-0-06-243164-6,,1,General Reading,,,
Democracy in America,Alexis De Tocqueville,978-0-226-80536-8,,1,General Reading,,,
Early Political Writings,Comte,978-0-521-46923-4,,1,General Reading,,,
Value Judgements,Ellen Goodman,0-374-16571-8,,1,General Reading,,,
"""Master Harold""…and the boys",Athol Fugard,978-0-14-048187-7,,1,General Reading,,,
The New States of Abortion Politics,Joshua C. Wilson,978-0-8047-9202-8,,1,General Reading,,,
The Social Construction of Reality: A Treatise in the Sociology of Knowledge,Peter L. Berger and Thomas Luckmann,0-384-05898-5,,1,General Reading,,,
By the People: Debating American Government,"James A. Morone, Rogan Kersh",978-0-19-029889-0,,1,Textbook,,,
Greek Political Oratory,,0-14-044-223-5,,1,General Reading,,,
Public Defenders and the American Justice System,Paul B. Wice,0-275-98576-8,,1,General Reading,,,
Regarding the Pain of Others,Susan Sontag,,,1,General Reading,,,
Songs of Innocence and of Experience,William Blake,978-0-19-281089-2,,1,General Reading,,,
H.G. Wells,Ann Veronica,978-0-141-44109-2,,1,General Reading,,,
The Origins of Totalitarianism,Hannah Arendt,978-0-15-670153-2,,1,General Reading,,,
Culture and Power: The Sociology of Pierre Bourdieu,David Swartz,978-0-226-78595-0,,1,General Reading,,,
Two Treatises of Government,Locke,978-0-521-35730-2,,1,General Reading,,,
Krugman's Economics,"Ray, Anderson",978-1-4641-22187-7,,1,Textbook,,,
College Physics,,978-1-938168-00-0,,1,Textbook,,,
Parables in Midrash: Narrative and Exegesis in Rabbinic Literature,David Stern,0-674-65448-X,,1,General Reading,,,
Identidades: Exploraciones e interconexiones,"Guzman, Lapuerta, Liskin-Gasparro, Castells",978-0-205-03473-4,,1,Textbook,,,
Disputed Moral Issues,Mark Timmons,,,1,Textbook,,,
Finite Mathematics & its Applications,"Goldstein, Schneider, Siegel",978-0-321-87805-2,,1,Textbook,,,
The Promise of American Life,Herbert Croly,978-0-691-16068-9,,1,General Reading,,,
Campus Voices: A Student to Student Guide to College Life,Paul Buchanan & Paula Miller,978-0-8307-4788-7,,1,General Reading,,,
The New Roget's Thesaurus,Norman Lewis,,,1,Other,,,
The Imperiled Presidency: Leadership Challenges in the Twenty-First Century,G. Calvin Mackenzie,978-1-4422-6074-0,,1,General Reading,,,
Débuts: An Introduction to French,"Siskin, Williams, Virture, Leahy",987-0-07-727291-3,,3,Textbook,,,
Eurydice,Sarah Ruhl,978-0-573-66244-7,,1,General Reading,,,
When You Preside,Sutherland,,,1,General Reading,,,
Quarrels That Have Shaped the Constitution,John A. Garraty,978-0-06-132084-2,,1,General Reading,,,
The Blackwell Companion to Major Classical Social Theorists,George Ritzer,978-1-4051-0594-1,,1,General Reading,,,
People's Science: Bodies and Rights on the Stem Cell Frontier,Ruha Benjamin,978-0-8047-8297-5,,1,General Reading,,,
The Politics of the Presidency,"Joseph A. Pika, John Anthony Maltese, Andrew Rudalevige",978-1-4833-7563-2,,1,General Reading,,,
Age of Propaganda: The Everyday Use and Abuse of Persuasion,"Anthony Pratkanis, Elliot Aronson",978-0-805-07403-1,,1,General Reading,,,
Art Speigelman Maus: A Survivor's Tale,,,,1,General Reading,,,
The Puzzle of Latin American Economic Development,Patrice Franko,978-0-7425-5353-8,,1,Textbook,,,
World-System Analysis: An Introduction,Immanuel Wallerstein,,,1,General Reading,,,
Real Estate Development and Investment: A Comprehensive Approach,Stephen P. Peca,978-0-470-226308-,,1,General Reading,,,
Débuts: An Introduction to French,"H. Jay Siskin, Ann Williams, Thomas T. Field ",978-0-07-727292-0,,1,Textbook,,,
Institutional Powers and Constraints: Constitutional Law for a Changing America ,"Lee Epstein, Thomas G. Walker",978-1-4833-8405-4,,1,Textbook,,,
Chasing Gideon: The Elusive Quest for Poor People's Justice,Karen Houppert,978-1-62097-026-3,,1,General Reading,,,
Masters of Sociological Thought,Lewis A. Coser,978-1-57766-307-2,,2,Textbook,,,
Á vous d'écrire: Atelier de Français,"Loriot-Raymer, Vialet, Muyskens",,,1,Textbook,,,
Syllabus,Lynda Barry,978-1-77046-161-1,,1,Textbook,,,
Learning to improve: How America's Schools Can Get Better at Getting Better,"Anthony S. Bryk, Louis M. Gomez, Alicia Grunow, Paul G. Lemahieu",978-1-61250-791-0,,1,General Reading,,,
Principles of Economics,N. Gregory Mankiw,,,1,Textbook,,,
Your Money or Your Life: Strong Medicine for America's Healthcare System,David M. Cutler,978-0-19-518132-6,,1,General Reading,,,
"Red City, Blue Period: Social Movements in Picasso's Barcelona",Temma Kaplan,0-520-08440-3,,1,General Reading,,,
The Book of Questions,Gregory Stock,0-89480-320-4,,1,General Reading,,,
A Pocket Guide to Writing in History ,Mary Lynn Rampolla ,0-312-40357-7,,1,General Reading,,,
A Pocket Style Manual,Diana Hacker,978-0-312-45275-9,,1,General Reading,,,
Aliceheimer's: Alzheimer's Through the Looking Glass,Dana Walrath,978-0-271-07468-9,,1,General Reading,,,
Cinema For Spanish Conversation,"Mary McVey Gill, Deana Smalley, María-Paz Haro",978-1-58510-706-3,,1,Textbook,,,
Contemporary Politcal Ideologies,Peter Ahrensdorf,,,1,Textbook,,,
Gardner's Art through the Ages: A Concise Western History,Fred S. Kleiner,978-1-133-95479-8,,1,Textbook,,,
"Radioactive: Marie and Peirre Curie, A Tale of Love and Fallout",Lauren Redniss,987-0-06-135132-7,,1,General Reading,,,
The Great Migration: An American Story,Jacob Lawrence,978-0-06-443428-7,,1,General Reading,,,
Social Psychology,"David G Myers, Jean M. Twenge",978-0-07-786187-1,,1,Textbook,,,
The Graduate's Survival Guide: Setting you up for Success in College,Rachel Cruze,978-1-937077-00-6,,1,General Reading,,,
Buccaneers of the Caribbean: How Piracy Forged an Empire,Jon Latimer,978-0-674-03403-7,,1,General Reading,,,
The First Days of School: How to be an Effective Teacher,"Harry K. Wong, Rosemary T. Wong",978-0-9764233-1-7,,1,General Reading,,,
Integrated Chinese Level 2 Part 2,,,,1,Other,,,
The Routledge Course in Modern Mandarin Chinese,"Claudia Ross, Baozhang He, Pei-Chia Chen, Meng Yeh ",978-0-415-47247-0,,2,Other,,,
Tess of the D'Urbervilles,Thomas Hardy,978-0-14-143959-4,,1,General Reading,,,
Biblical Interpretation in the Early Church,Karlfried Froehlich,,,1,General Reading,,,
"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,978-0-06-230123-9,,1,General Reading,,,
Leviathan: with selected variants from the Latin edition of 1668,Hobbes,978-0-87220-177-4,,1,General Reading,,,
Ethics and War: An Introduction,Steven P. Lee,978-0-521-72757-0,,1,Textbook,,,
The Anatomy of Racial Inequality ,Glenn C. Loury,978-0-674-01242-9,,1,Textbook,,,
"Sacred Gifts, Profane Pleasures: A History of Tobacco and Chocolate in the Atlantic World ",Marcy Norton,978-0-8014-7632-7,,1,Textbook,,,
Two Lives of Charlemagne ,Einhard and Notker the Stammerer,978-0-140-45505-2,,1,Textbook,,,
Representing Reality,Bill Nichols,0-253-20681-2,,3,Textbook,,,
The Lives of Animals,J.M. Coetzee,978-0-691-07089-6,,1,Textbook,,,
Les Liaisons Dangereuses,Choderlos de Laclos,978-0-19-953648-1,,1,Textbook,,,
Documentary: A History of the Non-fiction film ,Erik Barnouw,0-19-507898-5,,2,Textbook,,,
Africa's Discovery of Europe,David Northrup,978-0-19-994121-6,,1,Textbook,,,
Islam in Transition: Muslim Perspectives ,"John J. Donohue, John L. Esposito",978-0-195-174311U,,2,Textbook,,,
Modernity: An Introduction to Modern Societies ,"Staurt Hall, David Held, Don Hubert, Kenneth Thompson",978-1-55786-716-2,,1,Textbook,,,
"Islam: Religion, History, and Civilization",Seyyed Hossein Nasr,978-0-06-050714-5,,1,Textbook,,,
Deutsch im Alltag: Lehr- und Arbeitshbuch,"Christiane Lemcke, Lutz Rohrmann, Theo Scherling",978-3-468-47221-3,,1,Test Prep,,,
Deutsch im Alltag: Intensivtrainer,"Christiane Lemcke, Lutz Rohrmann, Theo Scherling",978-3-1260604-3-1,,1,Test Prep,,,
Mohammedanism,H.A.R. Gibb,978-0-19-500245-4,,1,Textbook,,,
Experiments in Organic Chemistry,"Richard Hill, John Barbaro",978-0-89892-311-7,,1,Textbook,,,
Revolutions Without Borders: The Call to Liberty in the Atlantic World ,Janet Polasky,978-0-300-21984-5,,1,Textbook,,,
The Worlds of Medieval Europe,Clifford R. Backman,978-0-19-533527-9,,1,Textbook,,,
Don Juan Tenorio,Jose Zorrilla,978-84-376-0213-4,,1,Textbook,,,
El Burlador de Sevilla o El Convidado de Piedra,Atribuida a Tirso de Molina ,84-376-0094-4,,1,Textbook,,,
Lazarillo de Tormes,Francisco Rico,84-376-0660-8,,1,Textbook,,,
Contemporanea ,Jorge Luis Borges ,978-8-4206331-2-1,,1,Textbook,,,
Power Forward: My Presidential Education,Reggie Love ,978-1-4767633-5-4,,1,Textbook,,,
School and Society,"Walter Feinberg, Jonas F. Soltis",978-0-8077-4985-2,,1,Textbook,,,
The Little Black Book of Neuropsychology: A Syndrome-Based Approach,"Mike R. Schoenberg, James G. Scott",978-1-4899-7755-7,,1,Textbook,,,
The North The South and The Environment: Ecological COnstraints and the Global Economy,"V Bhaskar, Andrew Glyn",0-312-12657-3,,1,Textbook,,,
Six Tales of Mystery And Imagination ,Edgar Allan Poe,0-671-08320-1,,1,General Reading,,,
The School and Society: The Child and the Curriculum ,John Dewey,0-226-14396-1,,1,Textbook,,,
Growing Up Jim Crow: How Black and White Southern Children Learned Race,Jennifer Ritterhouse ,978-0-8078-5684-0,,1,Textbook,,,
A Master Course in Feng-Shui,Eva Wong,978-1-57062-584-8,,1,Textbook,,,
"The Complete Illustrated Guide to Feng Shui: How to Apply the Secrets of Chinese Widsom for Health, Wealth and Happiness",Lillian Too,978-1-85230-902-2,,1,Textbook,,,
Narrative of the Life of Frederick Douglass,Frederick Douglass,978-0-486-28499-6,,1,Textbook,,,
Music in the USA: A Documentary Companion,"Judith Tick, Paul Beaudoin",0-19-513988-7,,1,Textbook,,,
"Obras Completas, II Carcel De Amor",Diego De San Pedro,978-84-7039-033-3,,1,Textbook,,,
Living With Jim Crow: African American Women and Memories of the Segregated South,Anne Valk and Leslie Brown,978-0-230-62152-7,,1,Textbook,,,
El Reino de Este Mundo,Alejo Carpentier,978-8-420-65550-5,,1,Textbook,,,
Cien anos de soledad,Gabriel Garcia Marques,84-376-0494-X,,1,Textbook,,,
American Nightmare: The History of Jim Crow ,Jerrold M. Packard,978-0-312-30241-2,,1,Textbook,,,
El Mundo Alucinante,Reinaldo Arenas,978-84-376-2443-3,,1,Textbook,,,
Sab and Autobiography,Gertrudis Gomez de Avellaneda y Arteaga,0-292-70442-9,,1,Textbook,,,
Microeconomics ,"David Besanko, Ronaldo R. Braeutigam",978-0-470-56358-8,,1,Textbook,,,
"Punto y Aparte: Spanish in Review, Moving Toward Fluency ","Sharon Forerster, Anne Lambright",978-1-308-85061-0,,1,Test Prep,,,
Aproximaciones: Al Estudio de la Literatura Hispanica,"Edward H. Friedman, L. Teresa Valdivieso, Carmelo Virgillo",978-0-07-338537-2,,1,Test Prep,,,
Calculus: For the Life Sciences,"Raymond N. Greenwell, Nathan P. Ritchey, Margaret L. Lial",0-201-74582-8,,3,Textbook,,,
"The Dignity of Working Men: Morality and the Boundaries of Race, Class, and Immigration",Michele Lamont ,978-0-674-00992-9,,1,Textbook,,,
The Broadview Anthrology of British Literature,"Joseph Black, Leonard Conolly, et al",978-1-55481-048-2,,1,Textbook,,,
Hobart Park,Cassidy Schultz,,,1,Textbook,,,
The Artful Universe: An Introduction to the Vedic Religious Imagination,William K. Mahony,0-7914-3580-6,,1,Textbook,,,
The Principal Upanisads,S. Radhakrishnan,978-0-391-03479-2,,1,Textbook,,,
"Just Don't Fall: A Hilariously True Story of Childhood, Cancer, Amputation, Romantic Yearning, Truth, and Olympic Greatness",Josh Sundquist,,,1,General Reading,,,
Writing About Literature,Edgar V. Roberts,978-0-205-23031-0,,1,Textbook,,,
United States History: Preparing for the Advanced Placement Examination,"John J. Newman, John M. Schmalbach",978-1-56765-660-2,,1,Textbook,,,
The Norton Mix Film,,978-0-393-60160-2,,2,Textbook,,,
Understanding Lawyers' Ethics ,"Monroe H. Freedman, Abbe Smith",978-1-6328-4506-1,,2,Textbook,,,
Captain Kudd and the War against the Pirates ,Robert C. Ritchie,978-0-674-09502-1,,1,Textbook,,,
Human Communication in Society,"Jess K. Alberts, Thomas K. Nakayama, Judith N. Martin ",978-0-13-132179-3,,1,Textbook,,,
Intermediate Accounting,"Donald E. Kieso, Jerry J. Weygandt, Terry D. Warfield",978-0-470-58723-2,,1,Textbook,,,
Munch and Women Image and Myth,"Patricia G. Berman, Jane Van Nimmen",0-88297-121-6,,1,Textbook,,,
"The Unfinished Revolution: How a New Generation Is Reshaping Family, Work, and Gender in America ",Kathleen Gerson,0-19-978332-2,,1,Textbook,,,
The Letters of Abelard and Heloise,"Betty Radice, M.T. Clanchy",978-0-14-044899-3,,1,Textbook,,,
The Wealth of Nations: Complete and Unabridged,Adam Smith,0-679-78336-9,,1,Textbook,,,
Whatever It Takes: Geoffrey Canada's Quest to Change Harlem and America ,Paul Tough,978-0-547-24796-0,,1,Textbook,,,
The House of Mirth ,Edith Wharton ,978-0-451-47430-8,,1,Textbook,,,
Obedience to Authority: An Experimental View,Stanley Milgram,978-0-06-176521-6,,1,Textbook,,,
The Invisible Hook: The Hidden Economics of Pirates,Peter T. Leeson,978-0-691-15009-3,,1,Textbook,,,
Essentials of Comparative Politics,Patrick H. O'Neil,978-0-393-91278-4,,1,Textbook,,,
Decolonization: A Very Short Introduction,Dane Kennedy,978-0-19-934049-1,,1,Textbook,,,
Essentuak Readings in Comparative Politics,"Patrick H. O'Neil, Ronald Rogowski",978-0-393-91280-7,,1,Textbook,,,
Galatea 2.2,Richard Powers,0-312-42313-6,,1,Textbook,,,
The Black Revolution on Campus ,Martha Biondi,978-0-520-26922-4,,1,Textbook,,,
The Crisis of the Modern World,Rene Guenon,978-0-900588-24-2,,1,Textbook,,,
Four Hours in My Lai ,Michael Bilton and Kevin Sim,978-0-14-017709-1,,1,Textbook,,,
Fugitive Landscapes: The Forgotten History of the U.S.- Mexico Borderlands,Samuel Truett,0-300-11091-X,,1,Textbook,,,
Ecology of a Cracker Childhood,Janisse Ray,978-1-57131-325-6,,1,Textbook,,,
